,Num days
Ryochan7/DS4Windows,9.943683063271605
icsharpcode/ILSpy,49.50213507625272
square/picasso,440.76019097222223
Konloch/bytecode-viewer,47.92764843242366
hapijs/hapi,275.4074797453704
IdreesInc/Monocraft,23.98519290123457
sparksuite/simplemde-markdown-editor,12.34402378671775
ziglang/zig,151.15932787698412
openai/tiktoken,36.763696759259254
KhronosGroup/glTF,553.6887152777778
microsoft/WinObjC,19.370636091820987
JetBrains/JetBrainsMono,72.6146836419753
thoughtbot/factory_bot,108.40785198801741
google/leveldb,162.60134722222224
vercel/swr,13.089277947672443
tporadowski/redis,154.8440613425926
flutter/gallery,127.47730902777778
grpc/grpc-java,20.432797484984984
contribsys/faktory,69.27086004273504
shwenzhang/AndResGuard,248.46277777777777
fullcalendar/fullcalendar,34.38793436819172
CISOfy/lynis,57.01585607537362
facebook/litho,41.73182484567901
mapbox/mapbox-gl-js,14.567635737532086
symfony/http-kernel,5.989837911522634
QingdaoU/OnlineJudge,111.02559953703705
binwiederhier/ntfy,7.985336066488176
vim-airline/vim-airline,230.58036921296295
yabwe/medium-editor,10.652022334834834
dmlc/xgboost,66.4555795940171
fish-shell/fish-shell,103.97230476364523
txthinking/brook,44.35500998547567
thoughtbot/dotfiles,20.941944444444445
lodash/lodash,342.0813773148148
marmelab/gremlins.js,1364.832523148148
ChrisRM/material-theme-jetbrains,25.001840277777777
bartobri/no-more-secrets,419.7191493055555
MacPass/MacPass,95.2710016835017
ReactiveX/RxJava,15.833655810983396
reek/anti-adblock-killer,6.21799575617284
microsoft/pyright,4.048308580021628
benawad/dogehouse,1.0825384259259259
colinhacks/zod,16.38575765669516
NVIDIA/Megatron-LM,384.7125491898148
haltu/muuri,76.19983738425925
monero-project/monero,58.99706404320987
hmemcpy/milewski-ctfp-pdf,38.93691458333333
facebook/create-react-app,25.489542259485095
spacejam/sled,49.980718143738976
andreamazz/AMScrollingNavbar,41.518430555555554
golang/tools,21.71325139623751
paragonie/random_compat,40.263746527777776
